name,url,status,owner,repo,kind,archived,disabled,default_branch,pushed_at,last_pr_number,last_pr_created_at,last_pr_merged_at,latest_release_tag,latest_release_at,pushed_last_active_window,pr_last_active_window,release_last_active_window,last_event_at,classification,contributors_count,error
github_com_oeg_upm_cogito_thing_manager_module,https://github.com/oeg-upm/cogito_thing_manager_module,processed,oeg-upm,cogito_thing_manager_module,project,False,False,main,2023-01-31T14:43:09+00:00,,,,,,False,False,False,2023-01-31T14:43:09+00:00,inactive,0,
github_com_oeg_upm_cogito_website,https://github.com/oeg-upm/cogito-website,processed,oeg-upm,cogito-website,project,False,False,main,2024-05-16T14:51:49+00:00,,,,,,False,False,False,2024-05-16T14:51:49+00:00,inactive,0,
github_com_oeg_upm_cogito_wrapper_module,https://github.com/oeg-upm/cogito_wrapper_module,processed,oeg-upm,cogito_wrapper_module,project,False,False,main,2022-11-15T16:13:56+00:00,,,,,,False,False,False,2022-11-15T16:13:56+00:00,inactive,0,
github_com_oeg_upm_conceptual_mapping,https://github.com/oeg-upm/Conceptual-Mapping,processed,oeg-upm,Conceptual-Mapping,project,False,False,main,2024-10-01T15:23:51+00:00,24,2023-08-14T19:39:30+00:00,2023-08-14T19:39:38+00:00,v1.1.1,2022-09-19T02:29:10+00:00,False,False,False,2024-10-01T15:23:51+00:00,inactive,0,
github_com_oeg_upm_confs_info,https://github.com/oeg-upm/confs-info,processed,oeg-upm,confs-info,project,False,False,master,2023-01-11T10:21:30+00:00,4,2018-08-09T15:54:51+00:00,2018-08-09T15:54:57+00:00,,,False,False,False,2023-01-11T10:21:30+00:00,inactive,0,
github_com_oeg_upm_context_builder,https://github.com/oeg-upm/context-builder,processed,oeg-upm,context-builder,project,False,False,main,2023-02-09T17:33:58+00:00,,,,,,False,False,False,2023-02-09T17:33:58+00:00,inactive,0,
github_com_oeg_upm_coppola,https://github.com/oeg-upm/coppola,processed,oeg-upm,coppola,project,False,False,main,2023-10-19T12:22:05+00:00,,,,v0.1.0,2022-07-29T10:55:23+00:00,False,False,False,2023-10-19T12:22:05+00:00,inactive,0,
github_com_oeg_upm_coraq,https://github.com/oeg-upm/coraq,processed,oeg-upm,coraq,project,False,False,main,2025-09-12T11:46:19+00:00,,,,,,False,False,False,2025-09-12T11:46:19+00:00,low_activity,0,
github_com_oeg_upm_covid19,https://github.com/oeg-upm/covid19,processed,oeg-upm,covid19,project,False,False,master,2020-04-09T10:33:09+00:00,3,2020-03-29T14:33:41+00:00,,,,False,False,False,2020-04-09T10:33:09+00:00,inactive,0,
github_com_oeg_upm_cpv_classifier,https://github.com/oeg-upm/cpv-classifier,processed,oeg-upm,cpv-classifier,project,False,False,main,2022-10-21T09:46:52+00:00,,,,,,False,False,False,2022-10-21T09:46:52+00:00,inactive,0,
github_com_oeg_upm_cq4oe_benchmark,https://github.com/oeg-upm/cq4oe-benchmark,processed,oeg-upm,cq4oe-benchmark,project,False,False,main,2026-09-21T10:40:10+00:00,61,2026-09-18T12:37:30+00:00,2026-09-21T10:40:10+00:00,0.0.1,2026-05-08T07:18:11+00:00,True,True,True,2026-09-21T10:40:10+00:00,active,5,
github_com_oeg_upm_daont,https://github.com/oeg-upm/DAOnt,processed,oeg-upm,DAOnt,project,False,False,main,2025-11-18T15:33:14+00:00,2,2025-11-18T12:23:04+00:00,2025-11-18T12:27:22+00:00,,,False,False,False,2025-11-18T15:33:14+00:00,low_activity,0,
github_com_oeg_upm_dataeuropa_analysis,https://github.com/oeg-upm/dataeuropa-analysis,processed,oeg-upm,dataeuropa-analysis,project,False,False,main,2023-04-12T09:24:56+00:00,,,,,,False,False,False,2023-04-12T09:24:56+00:00,inactive,0,
